,starter,riddle,class
2307,sunlight,"I am blinding at times yet help you see. I am necessary, but you'll burn with too much of me. What am I?",what am i
215,bear,"If you see one when youre camping. It might give you a big fright. They can be black, brown or grizzly. And pandas are black and white. What is it?",what is it
3991,Live,"Spelled forwards I'm what you do everyday, Spelled backwards I'm something you hate. What am I?",what am i
827,arm,"I push, I pull, I am a useful tool. If you lose me, you'll be very sorry -.I never return, as you'll soon learn. I have a humerus in me but I'm never that funny. The only way you'll remember me constantly, is the feeling you get when you lose me. What am I?",what am i
3254,gernade,I am Dangerous and used only once.  My head is pulled of then I am tossed away and never used again.  what am I?,what am i
2254,week,"I am the Father of Day, The Son of Month, and the Grandson of Year. What Am I?",what am i
4192,Snow.,"If you're tired and cold, I'll cover you gently, but it won't be warm, it will be deadly. What am I?",what am i
904,war,I bring death with a mighty blow. I can ruin nations with a mighty hole. Many people may die. Many people will cry. A battle is won at least. In the end I can bring peace. What am I?,what am i
1561,ice,I'm the son of water but when I return to water. I die. Who am I?,who am i
81,closet,"Filled with garb, the price is free. Just return what you don't need. What am I?",what am i
1609,receptionist,"Welcome! My desk can be called the NICETIES PORT, I know who comes and goes; I have ENTIRE OPTICS. I often serve another role, not as a TIE INSPECTOR, But as one who writes memos and NOTICES TRIPE. My notes are complete, not just TOPIC ENTRIES, I'm often asked for details and to RECITE POINTS. Photocopier problems? I can help with TINT, RECOPIES, I track expenses, I am who you bring RECEIPTS IN TO. Who am I?",who am i
1621,fever,"If someone have it, it's because of cold, but if you touch someone who has it,it is hot.What is it?",what is it
1647,coat hanger,"Weight I carry on my shoulders.Of articles new and older. Sideways on a pole, I may drift.Until my burden you do lift. My brothers, silent by my side.Each with his own load to preside. Were I to get bent out of shape.Recycling I may not escape. What am I?",what am i
4228,An Ice Cream.,"I scream I can be mostly any shape or colour, but everyone seams to talk about screaming when they talk about me. What am I?",what am i
4403,I am Yule!,"I am a holiday, of course, celebrated in December, I am celebrated until New Year, People who celebrate me are considered Evil by many Religions, what am I?",what am i
4036,Fire!,"Give me food, and I will live; give me water, and I will die.What am I?",what am i
1126,kilt,Skirts for men. What am I?,what am i
3839,europe,I start with an e and end with an e.  I have whole countries inside of me.  What am I?,what am i
2696,skull,"I'm under your face, I'm outside your mind; A biological case, Pressure brings pain sometimes. What am I?",what am i
1407,wind,"All about, but cannot be seen, Can be captured, cannot be held, No throat, but can be heard. What is it?",what is it
442,jam,My flavors ranges from strawberry to toe. What am I?,what am i
1929,clock,I have 2 hands on my face; you check on me to keep your pace.What am I?,what am i
189,ice,"I am a powerful force.A ""cold"" hearted thing.Powerful trees go weak under my strength.People become frightened and cold when I strike.Many have to leave their homes to find warmth.Yet I help cool down drinks on a hot summer day. What am I?",what am i
2806,children,"I moan, I groan, I chase after you.  I never seem to rest.  Time's up for you.  What am I?",what am i
4601,It is a well.,"Round as an apple, Deep as a cup, All the King's horses Can't pull it up.What is it?",what is it
3873,your hair,"I move very slowly at an imperceptible rate, although I take my time, I am never late.  I accompany life, and survive past demise, I am viewed with esteem in many women's eyes.   What am I?",what am i
3691,frost,"I drape the hills in white.  I do not swallow, but I sure do bite.  What am I?",what am i
3001,birthday candles,"When it is alive we sing, when it is dead we clap our hands.  What is it?",what is it
503,dictionary,Nothing is in it.But something is in it.Nobody is in it.But somebody is in it.If you have it.You and I are in it.What is it?,what is it
704,window,"There is an ancient invention, still used in some parts of the world today, that allows people to see through walls. What is it?",what is it
3023,their daughter,"I am a fathers child and a mothers child, yet I am not a son.   Who am I?",who am i
1875,truffles,I am most often found near acorns by the likes of Wilbur and Babe. Though that is not the case for my desert cousins. Like Napoleon the whitest of my kind are found in Alba. When I shave I can improve your greenery. What am I?,what am i
1662,shoes,I have a tongue But no face. I'm always looking up And I'm always close to the floor.  What am I?,what am i
4052,I am an echo.,"You heard me before, Yet you hear me again, Then I die, 'Till you call me again. What am I?",what am i
4380,sand,"I build up castles.  I tear down mountains.  I make some men blind,  I help others to see.  What am I?",what am i
1249,blood,"I'm small but big, i hide behind you but come out when you fall.  What am I?",what am i
3099,im a ton ha,"Forwards I'm heavy, but backwards I'm not.   What am I?",what am i
3074,im skin,"When liquid splashes me, none seeps through.  When I am moved alot, liquid I spew.  When I am hit, color I change.  And color, I come in quite a range.  What I cover is very complex, and I am very easy to flex.  What am I?",what am i
4562,I am nothing.,I am more powerful than god and more evil than the devil. I am what rich people want and what poor people have. I can never die. What am I?,what am i
1183,baby,Small and tiny. It grows and grows.When the time comes. Away we goes!What am I?,what am i
3614,wind,"Voiceless it cries,   Wingless flutters,   Toothless bites,   Mouthless mutters.    What am I?",what am i
3732,bat,"I fly at night, but I can't see, I am a mammal, but what am I??",what am i
3684,prince,My full powers come when my makers are dead; I await a heavy hat to put on my head.  What am I?,what am i
3292,im a fizzel,yo i can sizzle like diszzelbut you don't have to fizzlewhat am i!!!,what am i
1892,bin,"I am wasteful, but home to those unwanted. What am I?",what am i
1931,wave,"I can be as blue as the sky or have a white top. I roll through my world and crash into yours. I can be as gentle as a newborn puppy or as vicious as an angered bull, ripping through anything I find. I will topple anything you put in my way if I am strong enough. What am I?",what am i
3833,your heart,"I'm knitted with love, hatred, passion, depression, gifted, feelings, sober and colors.  My seams rip easily, so don't breathe on me too hard.  When drenched in rum, like I'm usually am I laugh and excite and clap, but when ticked off I make you bounce away and release sweat glands.  I live in a darkened shed ordered by neighbors to stay silent and just flow with my stream, what am I?",what am i
