Words,BFSConcepts,GoldRiddle,GenRiddle
gravity,"['a force of nature', 'a property of matter', 'force']",I am what bring things together. Without me everything you see would be a total mass or debris everywhere. What am I?,"

I am a force of nature, 
A property of matter I boast. 
A mighty push, yet unseen, 
Without me, things would coast. 
What am I, this power of weight? 
A riddle to ponder, I bid you mate. 
For without my pull, things would stray, 
Can you guess my name, as you sway?"
Gold,[],"I drive men mad  For love of me,  Easily beaten,  Never free.What Am I?","

I am hard and shiny,
A treasured prize, no doubt.
Some say I bring good luck,
Others just want me for clout. 
What am I? 
"
envelope,"['a drawer', 'an envelope', 'koverta', 'mailing a letter', 'protect']","I'm made of eight letters,But hold a ninth inside;Pay a very small fee,And send me for a ride.What am I?","
I can hold your words and keep them safe,
But through the post, they'll be sent to their place.
I'm found in a drawer, with others like me,
But once filled with words, I set them free.
What am I?"
tree,"['a forest', 'a tree', 'branches', 'branch']","I grow up super tall. When I die, I give a mighty fall. What am I?","

I am green and tall, but not a tower,
With many branches, but not a flower.
I grow from a seed, and thrive in the sun,
A symbol of life, my roots firmly run.
I provide shade and homes with ease,
But pluck my leaves, and you'll surely displease. 
What am I, in nature's realm so free?
A living, breathing, majestic _________."
nose,"['a nose', 'body', 'a coffin', 'arms']",What is it that smells most in a perfume shop?,"

I am a feature on your face
Without me, you'd look out of place
I am an organ, can you guess?
That allows you to smell and confess "
justice,"['Department of Justice', 'court', 'pravda', 'Pravda']","I cut through evil   like a double edged sword,   And chaos flees at my approach.    Balance I single-handedly upraise,   Through battles fought with heart and mind,   Instead of with my gaze.     What am I?","

I am often served in a courtroom,
And ensure fairness becomes our bloom.
I am the mission of the Department of Justice,
Ensuring that our rights will never be missed.
In the court, I am sought and held,
For without me, a just decision cannot be compelled.
In this place, I hold great power,
For every individual, every hour.
What am I, found in these places so just?
I am the answer to every trust."
daughter,"['brother', 'a house', 'boy', 'brat', 'bratwurst']","A father's child, a mother's child, yet no one's son. Who am I?","

I am a female, not a son
A precious child that has just begun
With love and pride, my parents I do bless
For I am their cherished daughter, no less"
corner,"['a corner', 'angle', 'edge', 'the corner']",Send poorly behaved children to me and let them sit here what am i ??,"

I am found in every room,
But I'm never in the center of doom.
I'm an angle that's sharp and true,
But have you ever looked at me closely, too?

I'm where two walls meet,
In a place that's often discreet.
I am both an edge and a bend,
But to find me, some searching you'll have to expend.

People often turn to me,
For comfort and security.
In a tight spot, I'll be your corner,
But watch out, for I may be a mourner.

In the shape of a room, I hold great power,
But I can also be your"
human ear,[],"My timpani play a rhythmic song, With hammer on anvil I play along. Down my canal no ship sets course, And I have a stirrup that fits no horse.  What am I?","
I am the organ through which sound is perceived, 
shaped like a shell and hidden within the head. 
Though my function may seem quite absurd, 
I am essential to every human on earth. 
What am I?"
waterfall,['a waterfall'],"This old one runs forever, but never moves at all. He has not lungs nor throat, but still a mighty roaring call. What is it?","

I am a natural wonder, a sight to see
Rushing and tumbling with every degree
My beauty remains, constant and tall
With a thunderous roar, I am known as the _____."
human life,[],"I am everywhere you look, no matter time of day.  You   can see me in the people's faces as they walk away.  I've been around forever, I am not about to leave.  Many have fought to save me, because it's what they believe.  I have been at every war, since the first I can remember.  And suprisingly enough, in those days I was lost every december.  What am I?","

I'm something we all possess,
But without me, we would never progress.
I can be long or short,
And sometimes filled with great support.
But once it's gone, it's gone for good,
So cherish it while you should.
What am I?"
crane,[],"It has a long neck, A name of a bird, Feeds on cargo of ships, It's not alive, What is it?","

I have a long neck, but I cannot eat  
My legs are thin, but I can't skip a beat  
I'll stretch and dance, way up in the sky  
I'm a bird, often seen flying by  
What am I? "
wig,"['hair', 'hairpiece', 'attire']",you wear to keep your head warm but its not a hat you wear it if you lost it what am i?,"

I am made of hair, but I am not alive
Some wear me on their head, to cover their disguise
I can be fake, but sometimes a must
Without me, your head may become crust
What am I, can you give it a try?
I am a _ _ _ _ _ _ _ , but I can't fly."
ladder,"['a hardware store', 'a ladder', 'climbing walls', 'lestve', 'painting a ceiling', 'reach the roof', 'run']","Two bodies with ribs, exposed. What am I?","

In a place where cars rest,
And tools are stored with the very best,
You'll find a friend with rungs to spare,
Helping reach the roof with care.
From the garage, it may have come,
Or from a hardware store, so glum,
But wherever its origins may be,
This climbing tool will set you free."
nails,"['a cabinet', 'a container', 'a jar', 'a store', 'be placed in a solid object', 'best hit with a hammer', 'bought at a hardware store', 'build a doghouse', 'driven into wood', 'nail']","I can hold things together, And you have 20 of me, or so I hope. What am I?","

I am found in a store, 
But not on the floor, 
I'm kept in a cabinet, 
But not with the plates on it.

I come in many colors, 
But I'm not clothes or stickers, 
I'm not a container, 
But I still hold something dear.

I'm sometimes found in a jar, 
But not with fruits or preserves, 
I may be small and slender, 
But I can fix and preserve. 

What am I?"
space,['area'],"I am black as night,  But filled with light.   I can be seen,  Even through a screen.   I hold many secrets,  Waiting for them to be discovered.   What am I?","

I am vast and boundless, yet confined to the skies,
Where twinkling stars dance and gleam in my guise.
From distant planets to galaxies unknown,
In my embrace, a vast universe is shown.
What am I, this empty and endless place?
The answer lies within my simple but sacred name, space."
satisfaction,"['gratification', 'emotional state']","All have tried to catch me, none have kept me! What am I?","

I am what everyone desires,
But often hard to find.
When achieved, it sets hearts on fire,
Leaving all woes behind.

What am I?"
pencil,"['a backpack', 'a classroom', 'a desk drawer', 'a desktop', 'a drawer', 'a pencil-case', 'a pocket', 'doing math', 'last for awhile', 'made from graphite', 'mark a paper', 'shade a sketch']",Its sometimes sharp. And good at being lead. Using this will help. Things to be read. What is it?,"

I am an instrument for words
On paper I leave my marks
A drawer holds me safe and sound
In a case, I can be found

In a classroom, I am a tool
For stories, math, or acting cool
What am I, you might ask
Just a simple writing task"
sand,"['a sandbox', 'beach', 'beaches', 'covered in sand']","I build up castles. I tear down mountains. I make some men blind, I help others to see. What am I?","

I am found on the beach, but also in the desert,
I'm made of tiny grains, but not ones that you can eat,
I'm not quite dirt, although I'm often found in the dirt,
Put me between bread, and you'll have a tasty treat. "
spider,"['a web', 'arachnid']",With no hammer or any kind of tool I build my house so quickly. What am I?,"

With eight legs I crawl and creep 
I create homes that are oh so neat 
Silk is my tool, I weave and spin 
My home is where it all begins 
Some may fear me, my bite is worse 
But in my web, I catch my purse 
Known as arachnids, or araignée 
One thing is for sure, I love to stay 
What am I, this creepy critter? 
Some say I am a true web-spinner."
