starters,generated_riddles,reference_riddles
anchor,I am a type of anchor. I can be used to anchor boats. What am I?,"You throw me out when you use me and take me in when you are done what am i?'
"
tree,I am a tree that is surrounded by trees. I can be sown or bare. What am I?,"My rings tell such a story.Of years past with gracious glory.Where I live is where I stay.From that spot I cannot stray.From my home man taketh me.So they can erect another home, you see.Many others bore into my sides.These things that crawl and things that glide.I weep with beauty or stand with grace.Every year I shed myself to nourish my place. What am I?'
"
moon,I am a planet that is surrounded by stars. I have ten legs but no legs. What am I?,"im white im round, but im not always around,  im light, im dark, sometimes im both,  everybody wants to walk on me,but only few happy feet ever have    What am i?'
"
dream,I am a word that can be used to describe sex. I can also be referred to as fright. What am I?,"I'll amuse you for an entire evening, But you won't remember me. What am I?""
"
onion,I am a vegetable that is sliced and sown. I can be thrown away and eaten. What am I?,"Those who prepare me can lift me, grip me, and chop off my head, bite my bare body, and tear me apart. I won't bite a person unless that person bites me; although there are many people who bite me. What am I?""
"
vending machinesi am money,I am a machine that sells food. I have ten legs and tees. What am I?,"You walked one day down the street. \xc2\xa0 You found something that was worth something. \xc2\xa0 You made sure you didn't lose it. \xc2\xa0 It has color , size and shape. \xc2\xa0\xc2\xa0 Everyone of them is different. \xc2\xa0 You enjoy it a lot. \xc2\xa0 You like it and you count it over and over. What am I ?""
"
blade of grass,I am a blade of grass. I can be sand or mud. What am I?,"The sharp slim blade, that cuts the wind.     What is it?'
"
clock,I have a head but no eyes. I can be spelled but not tipped. What am I?,"I always run but never walk, I sometimes sing but cannot talk, No head on which a hat to place, You always look me in the face.   What am I?'
"
baby,"I am a baby, but I'm not able to move. I can be sexy, yet I have no legs. What am I?","I can be created by humans,  but they cannot control me.   I suck on wood, paper and flesh alike.   I can be more of a hindrance than help.   To my creators, I seem to be everywhere at once.    What am I?""
"
colored pencils,I am colored with a color of black. I can be colored in sand or in paper. What am I?,"i can be colorful, but im really skinny, some poeple use my daily, some people throw me away, what am i'
"
flower pot,I am a pot that is filled with flowers. I can be filled in sand or in water. What am I?,"Light me up for a sprinkle of gold. What Am I?'
"
temperature,I am a measure of temperature. I can be measured in ten minutes. What am I?,"We experience this every day and sometimes can cause many problems.  What is it?'
"
poker hand,I am a game that is played in ten. I have spelled out the rules. What am I?,"I need a level playing field and a full boat to sail above the rest.   If im flush against a strait hand I will barely excape the heat.   If im two-faced then most likely you will lose.   What am I?'
"
bridge,I am a bridge that is surrounded by water. I can be sand or stone. What am I?,"{ I have a long tongue, and when I am needed they use me.  I am a protector for getting hurt.  who am I?'
"
water,I am a substance that is dissolved in water. I can be found in many places. What am I?,"I'm often running yet I have no legs.  You need me but I don't need you.  What am I?""
"
banana,I am a fruit that is ripe and I can be sliced and sown. What am I?,"A time when they're green, A time when they're brown, But both of these times.Cause me to frown. But just in between, For a very short while, They're absolutely yellow, And cause me to smile. What am I talking about here?""
"
liquorice,I am a liquid that is poured into ice. What am I?,"My first is a fluid, my second a solid, my whole a plant. What is it?'
"
sugar,I am a substance that is used to make food. I can be used in many different ways. What am I?,"A box of Diamonds that Most love to eat. What Am I ?'
"
leter e,"I am a solitary creature, I have no legs, but I can be ridden. What am I?","I come twice a week and once a year what am i?'
"
Cheese.,"I am a fruit that is sliced and sown. I can be thrown into ice, or tossed into the air. What am I?","People often cut into me, and although I can be very sharp, I never cut them back. Most people like me, but even if you hate me, just saying my name will make you smile. What am I?'
"
your feet   footsteps,I am a word that is used to describe squats. I can be found in many places. What am I?,"What is it the more you take, the more you leave behind?'
"
troublesome,"I am a person who is not able to see, but can be spelled out. What am I?","Remove some and I will give you trouble. What am I?'
"
bear,"I am a bear, I have ten legs, and I'm able to fly. What am I?","Naked with fur, I catch shoal in mid flight, Blindingly quick with true awesome might, I charge with both power and juggernaut force, Faster than man, woman or horse. What am I?""
"
volcano,"I am a volcano, I have no wings, but I can fly. What am I?","My thunder rolls beneath me, my lightning flares above.  I dust the crust, and when I bust, all I touch will I shove.    What am I?'
"
smoke,"I am a thing that can be seen, but I can't be heard. What am I?","I have no feet, no hands, no wings, but I climb to the sky. What am I?""
"
sibling,I am a friend of two. I have ten children. What am I?,"In my life I must bare, my bloodline I must share. What am I?'
"
lazy boy recliner,I am a boy who is lazy and lazy. I have ten legs but I'm not able to walk. What am I?,"I'm big, I'm comfortable, but most of all I'm oh, so lazy.  I have two arms, but only one foot.  What am I?""
"
key,I am a key that is used to unlock if you have smashed me. What am I?,"I turn around once. What is out will not get in. I turn around again. What is in will not get out. What am I?'
"
chocolate,I am a chocolate that is melted and frosted. What am I?,"Sometimes I am light, sometimes I am dark. What am I?'
"
x-ray,"I can be seen in a trance, I have no eyes, but I'm able to see. What am I?","You use me to see inside of someone. What am I?""
"
Freedom.,I am the only thing that can be gained without me. I can make you feel free. What am I?,"People who can't see me never aspire, and people who feel me don't want to lose. I fit for a person, but not for a group. I was born into one's consciousness, and I was repressed into rules and order. If a person wants to get me, he has to abandon the views of others and find his true self. I endure, I don't die forever, because there will always be person willing to follow my trail. What am I?""
"
The letter O.,"I am the letter of the first letter, and the second letter is the same. What am I?","I'm in the book, but not on any leaf; I'm in the mouth, but not in lip or teeth; I'm in the atmosphere, but never in the air; I wait on every one, but never on a pair; I am with you wherever you may go; And every thing you do I'm sure to know; Though when you did it I should not be there, Yet when 'twas done, you'd find me in the chair.What am I?""
"
