starter,riddle,class
flower pot,Light me up for a sprinkle of gold. What Am I?,what am i
triangle,It's equally comfortable in an orchestra and a geometry textbook. What is it?,what is it
promise,What is it that you ought to keep after you have given it to someone else?,what is it
measuring tape,i am tape but not sticky what am i?,what am i
headlights,"I cast light upon darkness, I help guide you through the night. The flick of a switch, helps stop you falling in a ditch. What am I?",what am i
camera,A device that nearly everyone has that can freeze anyone it sees. What is it?,what is it
pencil,"I am used to bring thoughts to life, And I come in different colors. I have a stone in my middle.And with my outside you could make a fiddle. What am I?",what am i
Olympic Games,"I am the gathering of the world's best, Challenging them all to the ultimate test. I bring glory and fame to the winners alone; Every competitor tries to set the tone. My flame is cherished across the land, Passing along from hand to hand. Five rings is the world that connects me to you, From any religion, race, or background out of the blue. What am I?",what am i
ship,"Weight in my belly, Trees on my back, Nails in my ribs, Feet I do lack. What am I ?",what am i
Iron ore,"Ripped from my mother's womb, beaten and burned, I become a blood thirsty killer. What am I? 3. I'm tall when I'm young and I'm short when I'm old. What am I?",what am i
giraffe,I have four legs but I'm not a chair. I have a long tongue but I'm not a frog. I eat trees but I'm not a koala. I live in Africa but I'm not a lion. I have a long neck but I'm not a bottle. Who am I?,who am i
movie theater,"Something different to show every week, but I'm still the same place.If you're eating it's probably butter that you taste.What am I?",what am i
coins,My shallow hills are the faces of kings. My horizon is always near. My music sends men to the grave. My absence sends men to work. What am I?,what am i
leaf,"Step on me while I live, and I shall make no sound. Step on me when dead, I'll crack and groan. What am I?",what am i
microwave oven,"Invisible energy, awakened when depressed.Just a few simple touches, and I will do the rest. A transformation will take place.within my four walls.I'm very effective; I don't take much time at all. I'm a contrivance.that's designed for your convenience.I can do wonders.given the right ingredients. What am I?",what am i
lamp,"If you give it a tug, you can sit in the dark. Tug it again and a light will spark. What is it?",what is it
shadow,I'm the part of the bird that's not in the sky. I can swim in the ocean and yet remain dry. What am I?,what am i
foot print,"I am something that follows you wherever you go. I normally come in pairs. I get messed up by water, wind, and rain.  What am I?",what am i
seal,"Implies approval like a big red check, When compromised, a sure sign to reject. No arms, no legs, but gets around, Pugilist at sea, on and off ground. What am I?",what am i
key,"I come in different shapes and sizes. Parts of me are curved, others are straight. You can put me anywhere you like, but to do my job I only have one right place.  What am I?",what am i
keyboard,"I have keys but no lock, you can enter but not leave  what am I?",what am i
soap,My work is based on give and take.I can make a difference by a hand shake.The older I get the smaller I grow.And my best friend is my worst foe. What am I?,what am i
coal,"Black as night I can be, Until my Mother sits on me; Then clear as ice I become.In the rough, thank you Mum. What am I?",what am i
art,I am in smart and heart. What am I?,what am i
wind,"You can feel me but, I can't feel you. I can uproot trees and tear roofs off their houses. Yet, I can make a Baby sleep and be gentle. I can howl and whisper. I can spread and stop fires. I can toss boats and help them glide too. What am I?",what am i
justice,"I am fair, But am sometimes overlooked. I am of righteousness, And of moral rightness. I can also be a person, A person who is of the law. What/who am I?",who am i
fart,"I don’t exist unless you cut me, but if you stab me I won’t bleed. I hate no one yet am abhorred by all. What am I?",what am i
traffic lights,"I have got three eyes and all are in a straight line. When my red eyes opens, everything freezes. What am I?",what am i
matchstick,"I am something, I kiss my momma before i die. What am I?",what am i
sky,"What is it, then, at which our heart laughs merrily when it weeps, but makes our heart sad and mournful when it shines too brightly?",what is it
doctor,"I work hard most every day, Not much time to dance and play, If I could reach what I desire, all like me would now retire. What am I?",what am i
brain,"I am your most powerful weapon; I come before your eyes.  I help you seek the truth, yet I often give you lies.  What am I?",what am i
gravity,Everyone is attracted to me and everybody falls for me. What am I?,what am i
dog,I am shorter when I stand and taller when I sit.Sometimes I'm even called a pit.What am I?,what am i
tornado,I have an eye but cannot see.I'm faster than any man alive and have no limbs.What am I?,what am i
jargon,"My first half is a container, I am language understood by few, if any. What am I?",what am i
cheese,"Not born, but from a Mother's body drawn, I hang until half of me is gone. I sleep in a cave until I grow old, then valued for my hardened gold. What am I?",what am i
wedding ring,"I am something, I am endless as chain. Once you have me you are bound for life but young girls want me. What am I?",what am i
idk,"yellow, purple, orange, then red. green is not even a part of the equation. What Am I??",what am i
delete,Digital whiteout. What am I?,what am i
caffeine,"Twenty-four members make me a lively blend.Eight are pressured for a girl to befriend.Ten represented at the head of a table's left end.Four members, throughout our skies extend.My last two, released by a leafy friend.Into your system, rejuvenation do I send. What am I?",what am i
